Birey_ID,Tarihlendirme(GÖ),Okuma_Derinliği,Kültür,Gruplar,Country,Publication,Enlem,Boylam,Veri_Tipi,Cinsiyet,Ind_type
ART018,5142,0.0661096,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
ART032,5144,0.165005,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
IKI017,5144,0.00275325,İkiztepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,41.6136944,35.8711361,1240K,F,Antik
ART022,5157,0.0733312,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
IKI034,5372,0.0074435,İkiztepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,41.6136944,35.8711361,1240K,F,Antik
ART019,5375,0.0224606,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
IKI030,5377,0.00231477,İkiztepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,41.6136944,35.8711361,1240K,F,Antik
IKI016,5391,0.0111835,İkiztepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,41.6136944,35.8711361,1240K,F,Antik
IKI036,5394,0.00409862,İkiztepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,41.6136944,35.8711361,1240K,F,Antik
CBT005,5397,0.0506059,ÇamlıbelTarlası_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,40.019745,34.586129,1240K,M,Antik
I10542,5397,0.111215,TUR_Marmara_Ilıpınar_ChL,Neolitik Sonrası,Turkey,LazaridisScience2022,40.48,29.296,1240K,M,Antik
CBT001,5399,0.09906,ÇamlıbelTarlası_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,40.019745,34.586129,1240K,F,Antik
IKI038,5401,0.00214931,İkiztepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,41.6136944,35.8711361,1240K,F,Antik
IKI037,5402,0.00568683,İkiztepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,41.6136944,35.8711361,1240K,M,Antik
CBT014,5405,0.125777,ÇamlıbelTarlası_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,40.019745,34.586129,1240K,M,Antik
CBT003,5528,0.00216724,ÇamlıbelTarlası_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,40.019745,34.586129,1240K,F,Antik
CBT010,5528,0.0639993,ÇamlıbelTarlası_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,40.019745,34.586129,1240K,F,Antik
